X,Y,ASPI_ID,ASPI_pavadinimas,ASPI_grupe,Adresas,POINT_X,POINT_Y,Savivaldybe,Filtras_gyd,Filtras_visi,Filtras_slaug,Filtras_Pirm_laik,Filtras_Antr_laik,Filtras_Trec_laik,Pirm_visi,Pirm_gyd,Pirm_slaug,Antr_visi,Antr_gyd,Antr_slaug,Trec_visi,Trec_gyd,Trec_slaug,Pok_visi_eur,Pok_gyd_eur,Pok_slaug_eur,Pok_visi_proc,Pok_gyd_proc,Pok_slaug_proc,FID
25.277778,54.751788,2,VšĮ VUL Santaros klinikos,1 - Visų šalies ASPĮ,"Santariškių g. 2, LT-08406 Vilnius",25.2777780000001,54.7517880000001,Vilniaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1357,2239,1230,1610,2704,1480,1752,2971,1621,394,732,391,29,33,32,1
25.282098,54.751788,3,Nacionalinis vėžio institutas,1 - Visų šalies ASPĮ,"Santariškių g. 1, LT-08660, Vilnius",25.2820980000001,54.7517880000001,Vilniaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1169,1729,1062,1408,2282,1283,1557,2623,1401,388,894,339,33,52,32,2
23.921082,54.918522,4,LSMUL Kauno klinikos,1 - Visų šalies ASPĮ,"Eivenių g. 2 LT-50161, Kaunas",23.9210820000001,54.9185220000001,Kauno m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1231,2150,1243,1480,2753,1558,1664,3094,1746,433,944,503,35,44,41,3
25.283988,54.690039,5,LR VRM Medicinos centras,1 - Visų šalies ASPĮ,"Žygimantų g. 8, LT-01102 Vilnius",25.2839880000001,54.6900390000001,Vilniaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,847,1249,779,998,1451,941,1139,1534,1070,292,285,291,35,23,37,4
23.9431185,54.878112,6,VšĮ Respublikinė Kauno ligoninė,1 - Visų šalies ASPĮ,"Hipodromo g. 13, LT-45130 Kaunas",23.9431185000001,54.878112,Kauno m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1040,1774,1008,1207,2118,1213,1404,2548,1438,364,774,430,35,44,43,5
25.4182005,54.684423,7,VšĮ Respublikinė Vilniaus psichiatrijos ligoninė  ,1 - Visų šalies ASPĮ,"Parko g. 21, LT-11205 Vilnius",25.4182005000001,54.684423,Vilniaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1023,1820,1043,1270,2413,1311,1435,2598,1632,411,778,589,40,43,57,6
25.583113263518,55.9764128870391,8,VšĮ Rokiškio psichiatrijos ligoninė,1 - Visų šalies ASPĮ,"Vytauto g. 47, 42100 Rokiškis, Rokiškio r. sav.",25.583113263518,55.9764128870391,Rokiškio r. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1111,2778,1203,1194,3315,1272,1351,3924,1412,240,1146,209,22,41,17,7
25.2076995,54.6687,9,VšĮ Respublikinė Vilniaus universitetinė ligoninė,1 - Visų šalies ASPĮ,"Šiltnamių g. 29, LT-04130 Vilnius",25.2076995000001,54.6687000000001,Vilniaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1213,2144,1160,1393,2459,1371,1574,2800,1555,361,656,395,30,31,34,8
23.8586715,54.915147,10,VšĮ Kauno klinikinė ligoninė,1 - Visų šalies ASPĮ,"Josvainių g. 2, LT-47144 Kaunas",23.8586715000001,54.915147,Kauno m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,936,1530,883,1048,1718,1038,1191,1894,1222,255,364,339,27,24,38,9
24.04071,54.413703,11,VšĮ Alytaus apskrities tuberkuliozės ligoninė,1 - Visų šalies ASPĮ,"Sanatorijos g. 51, 62372, Alytus",24.0407100000001,54.413703,Alytaus m. sav.,1 - Slaugytojai,2 - Visi darbuotojai,3 - Gydytojai,2017-07 - 2018-04,2018-05 - 2018-12,2019-09 - 2020-02,1422,2236,1248,1642,2602,1393,1705,2812,1478,283,576,230,20,26,18,10
