Rinkimø pavadinimas;Apygardos Nr.;Apygardos pavadinimas;Apylinkës Unikalus Numeris;Apylinkës nr.;Apylinkës pavadinimas;Savivaldybës pavadinimas;Viso rinkëjø sàraðe;"Ið viso balsavo apylinkëje
 (Pat.+Paðt.)";Rinkëjø iki 24 m. (Vyrø);Rinkëjø iki 24 m. (Moterø);Balsavo iki 24 m. (Vyrø);Balsavo iki 24 m. (Moterø);Rinkëjø 25 -  29 m. (Vyrø);Rinkëjø 25 - 29 m. (Moterø);Bals. iki 25 - 29 m. (Vyrø);Bals. iki 25 - 29 m. (Moterø);Rinkëjø 30 -  34 m. (Vyrø);Rinkëjø 30 - 34 m. (Moterø);Bals. iki 30 - 34 m. (Vyrø);Bals. iki 30 - 34 m. (Moterø);Rink. 35 - 44 m. (Vyrø);Rink. 35 - 44 m. (Moterø);Bals. 35 - 44 m. (Vyrø);Bals. 35 - 44 m. (Moterø);Rink. 45 - 54 m. (Vyrø);Rink. 45 - 54 m. (Moterø);Bals. 45 - 54 m. (Vyrø);Bals. 45 - 54 m. (Moterø);Rink. 55 - 64 m. (Vyrø);Rink. 55 - 64 m. (Moterø);Bals. 55 - 64 m. (Vyrø);Bals. 55 - 64 m. (Moterø);Rink. 65 - 74 m. (Vyrø);Rink. 65 - 74 m. (Moterø);Bals. 65 - 74 m. (Vyrø);Bals. 65 - 74 m. (Moterø);Rink. nuo 75 m. (Vyrø);Rink. nuo 75 m. (Moterø);Bals. nuo 75 m. (Vyrø);Bals. nuo 75 m. (Moterø)
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57002;2;Gedimino;Vilniaus miesto savivaldybë;3356;1790;95;96;47;63;132;122;67;76;246;262;141;145;410;492;206;249;240;289;114;170;206;188;96;109;109;184;63;101;88;197;46;97
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57003;3;Saltoniðkiø;Vilniaus miesto savivaldybë;2885;1875;82;77;49;44;99;111;73;76;199;205;145;152;382;460;251;291;175;231;123;148;132;202;79;118;83;168;55;112;88;191;53;106
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57004;4;Sëliø;Vilniaus miesto savivaldybë;2126;1336;81;70;44;42;80;71;50;57;103;124;64;86;238;291;167;196;147;182;82;109;142;187;77;131;84;147;45;86;64;115;39;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57006;6;Vytauto;Vilniaus miesto savivaldybë;2773;1648;109;100;69;61;95;90;64;59;98;85;57;59;243;298;152;183;218;262;120;171;187;246;110;143;156;219;81;114;115;252;75;130
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57007;7;Birutës;Vilniaus miesto savivaldybë;1988;1310;76;62;49;34;52;55;39;40;66;87;42;65;188;251;131;176;181;199;123;135;130;172;79;114;88;135;54;85;84;162;51;93
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57008;8;Pamënkalnio;Vilniaus miesto savivaldybë;1997;1318;63;73;41;37;66;64;44;47;106;137;85;90;200;264;139;183;139;171;95;125;138;174;74;113;83;125;49;85;67;127;40;71
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57010;10;Taurakalnio;Vilniaus miesto savivaldybë;1698;1109;63;62;41;47;53;56;45;38;73;98;52;65;180;207;127;144;137;153;84;94;111;137;68;79;75;125;44;84;57;111;34;63
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57013;13;Mindaugo;Vilniaus miesto savivaldybë;2329;1371;74;83;45;49;92;77;57;56;142;133;98;101;218;211;141;135;181;212;90;128;154;225;70;128;79;163;43;94;78;207;43;93
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57051;51;Dailës;Vilniaus miesto savivaldybë;1783;1135;82;66;50;43;64;73;40;44;91;76;62;52;167;205;113;143;151;181;100;110;144;178;83;116;73;103;47;68;46;83;22;42
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57052;52;Uþupio;Vilniaus miesto savivaldybë;2677;1357;116;85;52;42;74;92;36;45;124;144;63;73;306;388;174;227;209;239;107;123;158;218;72;98;107;175;52;91;83;159;41;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57060;60;Senamiesèio;Vilniaus miesto savivaldybë;1965;1297;64;73;44;49;71;88;56;67;101;121;77;71;209;222;148;161;131;165;77;110;137;160;85;113;91;142;51;86;60;130;41;61
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57062;62;Naugarduko;Vilniaus miesto savivaldybë;3060;1961;111;100;63;56;110;117;70;91;150;190;116;135;348;369;244;265;279;292;184;188;187;257;109;151;109;165;67;99;78;198;42;81
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57065;65;A. Vienuolio;Vilniaus miesto savivaldybë;1640;1021;48;48;25;31;66;66;46;48;84;84;55;62;159;165;111;118;134;162;81;100;122;160;72;98;59;94;32;49;63;126;34;59
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57066;66;M. Daukðos;Vilniaus miesto savivaldybë;2501;1330;103;87;54;44;84;93;41;62;150;138;83;85;294;271;169;164;204;225;97;122;177;229;86;113;103;175;51;78;47;121;21;60
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );1;Senamiesèio–Þvëryno;57067;67;V. Ðopeno;Vilniaus miesto savivaldybë;2309;1314;69;71;45;36;74;101;43;70;139;183;92;124;286;302;186;190;159;210;77;115;173;196;76;110;64;138;28;64;35;109;21;37
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57012;12;S. Konarskio;Vilniaus miesto savivaldybë;3324;1950;123;110;80;74;91;111;47;75;145;160;87;100;321;392;189;232;210;249;125;157;262;385;133;221;195;279;115;164;96;195;57;94
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57015;15;Vytenio;Vilniaus miesto savivaldybë;2879;1809;78;76;43;50;138;150;96;109;233;275;184;217;333;322;231;226;159;205;89;105;164;244;71;133;78;152;37;85;76;196;42;91
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57016;16;Þemaitës;Vilniaus miesto savivaldybë;3298;1727;96;103;42;51;171;181;96;129;274;279;185;188;268;321;166;163;181;215;73;84;228;317;98;148;121;241;51;117;83;219;38;98
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57017;17;Algirdo;Vilniaus miesto savivaldybë;3845;2138;115;137;54;80;161;194;97;118;297;311;211;230;391;427;247;257;243;297;114;149;251;346;101;156;136;246;65;122;77;216;41;96
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57401;401;Vingio;Vilniaus miesto savivaldybë;2451;1154;100;68;45;34;96;97;53;51;104;118;54;64;194;200;75;89;167;195;72;80;210;304;88;158;93;202;43;101;68;235;39;108
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57407;407;Skroblø;Vilniaus miesto savivaldybë;2874;1452;88;110;34;59;123;122;66;70;139;139;86;81;202;225;96;110;205;235;92;112;195;315;80;164;151;274;82;147;111;240;63;110
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57409;409;Gerosios Vilties;Vilniaus miesto savivaldybë;3076;1325;118;115;48;50;108;116;50;54;117;131;60;61;208;224;83;108;250;299;89;124;177;302;63;142;114;241;53;100;142;414;61;179
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57452;452;Lietuviø namø;Vilniaus miesto savivaldybë;2050;767;79;88;27;24;66;67;18;32;92;101;37;46;156;149;51;56;168;179;59;81;175;253;63;92;113;180;37;71;50;134;23;50
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57453;453;Dzûkø;Vilniaus miesto savivaldybë;3095;1190;140;101;36;38;110;123;44;58;141;139;51;57;247;273;81;104;224;282;72;104;261;351;98;139;149;268;68;120;79;207;35;85
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57454;454;Kapsø;Vilniaus miesto savivaldybë;2110;797;69;73;17;28;61;54;20;26;103;92;38;33;149;168;47;67;142;213;42;90;196;260;58;111;89;175;29;78;64;202;33;80
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57456;456;Kaminkelio;Vilniaus miesto savivaldybë;2538;1026;98;107;43;38;89;91;36;43;109;106;44;44;220;221;85;89;214;272;76;109;219;337;79;132;105;180;45;83;58;112;30;50
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57457;457;Naujininkø;Vilniaus miesto savivaldybë;3007;1125;93;93;37;36;100;92;37;41;132;111;46;37;173;181;57;47;238;287;80;105;263;361;83;152;133;239;53;110;131;380;58;146
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );2;Naujamiesèio–Naujininkø;57458;458;Broliø;Vilniaus miesto savivaldybë;2479;877;83;96;26;35;79;87;28;39;128;136;46;52;182;201;58;64;170;220;43;77;201;294;72;97;113;213;38;86;55;221;28;88
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57101;101;Filaretø;Vilniaus miesto savivaldybë;2608;1551;128;118;73;79;94;82;56;52;109;117;62;75;237;301;159;188;186;281;119;178;161;210;88;112;141;205;75;116;83;155;46;73
2020 m. spalio 11 d. Lietuvos Respublikos Seimo rinkimai (I turas) ( rinkimø diena 2020-10-11 );3;Antakalnio;57102;102;Olandø;Vilniaus miesto savivaldybë;1600;1022;57;60;30;44;47;59;32;44;59;79;45;52;141;174;95;129;122;156;67;97;101;134;63;83;66;114;35;72;81;150;51;83
