date,count,code
2020-12-26,9750,rec_P
2020-12-28,10725,rec_P
2021-01-04,20670,rec_P
2021-01-11,24570,rec_P
2021-01-12,2400,rec_M
2021-01-18,14040,rec_P
2021-01-25,25740,rec_P
2021-01-31,3600,rec_M
2021-02-01,22230,rec_P
2021-02-06,12000,rec_A
2021-02-09,22230,rec_P
2021-02-11,12600,rec_A
2021-02-12,6000,rec_M
2021-02-13,29250,rec_P
2021-02-19,23900,rec_A
2021-02-22,28080,rec_P
2021-02-24,12000,rec_M
2021-03-01,29250,rec_P
2021-03-02,19200,rec_A
2021-03-08,31590,rec_P
2021-03-09,33600,rec_A
2021-03-12,14400,rec_A
2021-03-15,31590,rec_P
2021-03-18,15600,rec_M
2021-03-19,4800,rec_A
2021-03-22,43290,rec_P
2021-03-26,7200,rec_A
2021-03-29,44460,rec_P
2021-03-30,22800,rec_M
2021-03-31,64800,rec_A
