APYGARDOS_NR;APYGARDOS_PAVADINIMAS;APYLINKES_NR;APYLINKES_PAVADINIMAS;RINKEJU_SKAICIUS;VISO_DALYVAVO;BALSADEZEJE_GALIOJANTYS;BALSADEZEJE_NEGALIOJANTYS;PASTU_GALIOJANTYS;PASTU_NEGALIOJANTYS;SARASO_NUMERIS;SARASO_PAVADINIMAS;BALSU_BALSADEZEJE;BALSU_PASTU;BALSU_VISO;PAPILDOMO_PROTOKOLO_POZYMIS;RPL_UNIKALUS_NUMERIS;SAV
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;1;Lietuvos socialdemokratø partija;195;41;236;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;2;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;746;221;967;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;3;Lietuvos laisvës sàjunga (liberalai);92;24;116;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;4;S. Buðkevièiaus ir Tautininkø koalicija „Prieð korupcijà ir skurdà“ (Partija „Jaunoji Lietuva“, Tautininkø sàjunga);13;8;21;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;5;Partija Tvarka ir teisingumas;20;5;25;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;6;Lietuvos valstieèiø ir þaliøjø sàjunga;140;26;166;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;7;Lietuvos Respublikos liberalø sàjûdis;346;133;479;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;8;Darbo partija;23;9;32;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;9;„Dràsos kelias“ politinë partija;3;2;5;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;10;Lietuvos liaudies partija;20;7;27;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;11;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;57;9;66;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;12;Lietuvos þaliøjø partija;33;8;41;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;13;Politinë partija „Lietuvos sàraðas“;60;10;70;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;2;Gedimino;4714;2301;1769;19;508;5;14;Antikorupcinë N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkø partijà);21;5;26;;57002;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;1;Lietuvos socialdemokratø partija;110;22;132;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;2;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;374;57;431;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;3;Lietuvos laisvës sàjunga (liberalai);39;10;49;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;4;S. Buðkevièiaus ir Tautininkø koalicija „Prieð korupcijà ir skurdà“ (Partija „Jaunoji Lietuva“, Tautininkø sàjunga);5;5;10;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;5;Partija Tvarka ir teisingumas;17;21;38;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;6;Lietuvos valstieèiø ir þaliøjø sàjunga;69;16;85;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;7;Lietuvos Respublikos liberalø sàjûdis;172;26;198;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;8;Darbo partija;9;45;54;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;9;„Dràsos kelias“ politinë partija;3;2;5;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;10;Lietuvos liaudies partija;6;4;10;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;11;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;38;11;49;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;12;Lietuvos þaliøjø partija;22;4;26;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;13;Politinë partija „Lietuvos sàraðas“;21;3;24;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;8;Pamënkalnio;1882;1212;910;16;270;16;14;Antikorupcinë N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkø partijà);25;44;69;;57008;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;1;Lietuvos socialdemokratø partija;139;9;148;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;2;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;321;30;351;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;3;Lietuvos laisvës sàjunga (liberalai);36;2;38;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;4;S. Buðkevièiaus ir Tautininkø koalicija „Prieð korupcijà ir skurdà“ (Partija „Jaunoji Lietuva“, Tautininkø sàjunga);2;0;2;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;5;Partija Tvarka ir teisingumas;16;3;19;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;6;Lietuvos valstieèiø ir þaliøjø sàjunga;68;2;70;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;7;Lietuvos Respublikos liberalø sàjûdis;169;22;191;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;8;Darbo partija;19;0;19;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;9;„Dràsos kelias“ politinë partija;1;0;1;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;10;Lietuvos liaudies partija;4;0;4;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;11;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;37;1;38;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;12;Lietuvos þaliøjø partija;9;1;10;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;13;Politinë partija „Lietuvos sàraðas“;21;0;21;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;10;Taurakalnio;1462;956;864;20;72;0;14;Antikorupcinë N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkø partijà);22;2;24;;57010;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;1;Lietuvos socialdemokratø partija;312;15;327;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;2;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;638;72;710;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;3;Lietuvos laisvës sàjunga (liberalai);94;8;102;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;4;S. Buðkevièiaus ir Tautininkø koalicija „Prieð korupcijà ir skurdà“ (Partija „Jaunoji Lietuva“, Tautininkø sàjunga);10;0;10;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;5;Partija Tvarka ir teisingumas;39;2;41;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;6;Lietuvos valstieèiø ir þaliøjø sàjunga;176;11;187;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;7;Lietuvos Respublikos liberalø sàjûdis;400;32;432;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;8;Darbo partija;51;6;57;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;9;„Dràsos kelias“ politinë partija;1;1;2;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;10;Lietuvos liaudies partija;15;1;16;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;11;Lietuvos lenkø rinkimø akcija-Krikðèioniðkø ðeimø sàjunga;123;6;129;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;12;Lietuvos þaliøjø partija;31;2;33;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;13;Politinë partija „Lietuvos sàraðas“;64;3;67;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;12;S. Konarskio;3462;2207;1995;39;170;3;14;Antikorupcinë N. Puteikio ir K. Krivicko koalicija (Lietuvos centro partija, Lietuvos pensininkø partijà);40;11;51;;57012;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1286;1126;28;130;2;1;Lietuvos socialdemokratø partija;143;7;150;;57013;Vilniaus miesto savivaldybë
1;Naujamiesèio;13;Mindaugo;2281;1286;1126;28;130;2;2;Tëvynës sàjunga - Lietuvos krikðèionys demokratai;418;51;469;;57013;Vilniaus miesto savivaldybë
