Apyg. Nr.;Apygardos pavadinimas;Apyl. Nr;Apylinkë;Savivaldybë;RPL_Unikalus_Numeris;Ið viso apylinkës sàraðe;"Ið viso balsavo apylinkëje
(Pat.+Paðt.)";"Rinkëjø iki 24 m. 
(Vyrø)";"Rinkëjø iki 24 m. 
(Moterø)";"Balsavo iki 24 m. 
(Vyrø)";"Balsavo iki 24 m. 
(Moterø)";"Rinkëjø 25 - 34 m. 
(Vyrø)";"Rinkëjø 25 - 34 m. 
(Moterø)";Bals. iki 25-34m. (Vyrø);Bals. iki 25-34m. (Moterø);Rink. 35 - 44 m. (Vyrø);Rink. 35 - 44 m. (Moterø);Bals. 35 - 44 m. (Vyrø);Bals. 35 - 44 m. (Moterø);Rink. 45 - 54 m. (Vyrø);Rink. 45 - 54 m. (Moterø);Bals. 45 - 54 m. (Vyrø);Bals. 45 - 54 m.  (Moterø);Rink. 55 - 64 m. (Vyrø);Rink. 55 - 64 m. (Moterø);Bals. 55 - 64 m. (Vyrø);Bals. 55 - 64 m. (Moterø);Rink. 65 - 74 m. (Vyrø);Rink. 65 - 74 m. (Moterø);Bals. 65 - 74 m. (Vyrø);Bals. 65 - 74 m. (Moterø);Rink. nuo 75 m. (Vyrø);Rink. nuo 75 m. (Moterø);Bals. nuo 75 m. (Vyrø);Bals. nuo 75 m. (Moterø)
1;Naujamiesèio;2;Gedimino;Vilniaus miesto savivaldybë;57002;4718;2241;198;170;91;68;764;956;357;427;455;514;206;210;298;273;131;150;228;248;94;139;119;181;71;115;101;213;68;114
1;Naujamiesèio;8;Pamënkalnio;Vilniaus miesto savivaldybë;57008;1926;1143;105;69;56;34;236;169;148;92;216;202;143;125;154;134;86;78;144;148;85;88;62;94;33;59;68;125;47;69
1;Naujamiesèio;10;Taurakalnio;Vilniaus miesto savivaldybë;57010;1464;891;73;68;41;29;126;146;79;81;113;157;75;103;118;136;72;84;103;126;59;81;50;100;30;63;40;108;30;64
1;Naujamiesèio;12;S. Konarskio;Vilniaus miesto savivaldybë;57012;3435;2156;123;141;74;76;335;391;205;247;277;325;181;193;217;264;141;173;296;431;185;277;148;193;86;123;95;199;70;125
1;Naujamiesèio;13;Mindaugo;Vilniaus miesto savivaldybë;57013;2274;1245;97;79;42;33;210;233;120;148;231;198;122;107;160;212;85;118;142;212;77;113;69;151;49;94;75;205;43;94
1;Naujamiesèio;15;Vytenio;Vilniaus miesto savivaldybë;57015;2401;1262;71;81;28;34;287;347;175;210;207;194;118;104;146;203;64;86;144;240;57;118;77;136;41;89;81;187;48;90
1;Naujamiesèio;16;Þemaitës;Vilniaus miesto savivaldybë;57016;2943;1382;125;99;47;42;312;335;164;158;202;219;91;92;196;258;87;122;222;329;117;150;98;188;46;91;98;262;52;123
1;Naujamiesèio;17;Algirdo;Vilniaus miesto savivaldybë;57017;3348;1632;118;143;49;67;362;376;197;209;272;326;131;175;267;329;119;160;225;320;99;170;112;227;54;93;64;207;34;75
2;Senamiesèio;3;Saltoniðkiø;Vilniaus miesto savivaldybë;57003;2912;1669;91;94;54;50;289;323;167;187;305;396;188;221;193;225;108;129;144;239;81;138;97;181;58;104;118;217;73;111
2;Senamiesèio;4;Sëliø;Vilniaus miesto savivaldybë;57004;1523;876;60;67;34;37;141;160;83;89;132;173;75;95;134;171;78;100;109;119;58;74;56;88;35;59;34;79;21;38
2;Senamiesèio;6;Vytauto;Vilniaus miesto savivaldybë;57006;2722;1659;111;122;68;68;205;204;122;115;231;269;135;162;220;253;131;160;186;270;122;166;124;187;82;113;103;237;71;144
2;Senamiesèio;7;Birutës;Vilniaus miesto savivaldybë;57007;1944;1259;77;84;41;45;126;161;80;104;181;232;117;154;153;181;97;117;105;187;66;123;90;136;70;92;91;140;65;88
2;Senamiesèio;51;Dailës;Vilniaus miesto savivaldybë;57051;1717;943;65;81;28;37;158;166;85;95;150;195;88;109;163;183;96;100;122;145;69;81;54;107;31;64;45;83;24;36
2;Senamiesèio;52;Uþupio;Vilniaus miesto savivaldybë;57052;2453;1504;93;96;49;49;208;242;113;158;267;312;172;196;185;223;111;132;132;208;83;134;120;178;77;120;61;128;40;70
2;Senamiesèio;54;A. Juozapavièiaus;Vilniaus miesto savivaldybë;57054;3098;1633;122;125;54;53;321;310;159;177;264;278;149;160;243;333;120;173;197;297;106;164;113;180;59;94;96;219;63;102
2;Senamiesèio;56;Licëjaus;Vilniaus miesto savivaldybë;57056;3136;1282;132;144;50;50;298;327;123;124;221;265;74;113;254;329;90;141;246;379;104;183;151;207;65;95;46;137;19;51
2;Senamiesèio;57;Senvagës;Vilniaus miesto savivaldybë;57057;3627;1830;151;121;62;63;279;285;139;144;235;248;104;102;260;364;132;171;249;326;113;159;132;304;82;178;195;478;116;265
2;Senamiesèio;59;Konstitucijos;Vilniaus miesto savivaldybë;57059;3529;1793;145;155;69;71;429;443;227;262;334;338;165;177;283;315;153;146;251;293;126;135;127;204;74;104;62;150;30;54
2;Senamiesèio;60;Senamiesèio;Vilniaus miesto savivaldybë;57060;1747;1034;50;69;36;35;173;195;109;120;159;170;96;101;118;161;66;93;139;156;82;100;75;112;50;69;49;121;25;52
